name,original_id,p0010001_2020,p0010002_2020,p0010003_2020,p0010004_2020,p0010005_2020,p0010006_2020,p0010007_2020,p0010008_2020,p0010009_2020,p0010010_2020,p0010011_2020,p0010012_2020,p0010013_2020,p0010014_2020,p0010015_2020,p0010016_2020,p0010017_2020,p0010018_2020,p0010019_2020,p0010020_2020,p0010021_2020,p0010022_2020,p0010023_2020,p0010024_2020,p0010025_2020,p0010026_2020,p0010027_2020,p0010028_2020,p0010029_2020,p0010030_2020,p0010031_2020,p0010032_2020,p0010033_2020,p0010034_2020,p0010035_2020,p0010036_2020,p0010037_2020,p0010038_2020,p0010039_2020,p0010040_2020,p0010041_2020,p0010042_2020,p0010043_2020,p0010044_2020,p0010045_2020,p0010046_2020,p0010047_2020,p0010048_2020,p0010049_2020,p0010050_2020,p0010051_2020,p0010052_2020,p0010053_2020,p0010054_2020,p0010055_2020,p0010056_2020,p0010057_2020,p0010058_2020,p0010059_2020,p0010060_2020,p0010061_2020,p0010062_2020,p0010063_2020,p0010064_2020,p0010065_2020,p0010066_2020,p0010067_2020,p0010068_2020,p0010069_2020,p0010070_2020,p0010071_2020,p0010001_2010,p0010002_2010,p0010003_2010,p0010004_2010,p0010005_2010,p0010006_2010,p0010007_2010,p0010008_2010,p0010009_2010,p0010010_2010,p0010011_2010,p0010012_2010,p0010013_2010,p0010014_2010,p0010015_2010,p0010016_2010,p0010017_2010,p0010018_2010,p0010019_2010,p0010020_2010,p0010021_2010,p0010022_2010,p0010023_2010,p0010024_2010,p0010025_2010,p0010026_2010,p0010027_2010,p0010028_2010,p0010029_2010,p0010030_2010,p0010031_2010,p0010032_2010,p0010033_2010,p0010034_2010,p0010035_2010,p0010036_2010,p0010037_2010,p0010038_2010,p0010039_2010,p0010040_2010,p0010041_2010,p0010042_2010,p0010043_2010,p0010044_2010,p0010045_2010,p0010046_2010,p0010047_2010,p0010048_2010,p0010049_2010,p0010050_2010,p0010051_2010,p0010052_2010,p0010053_2010,p0010054_2010,p0010055_2010,p0010056_2010,p0010057_2010,p0010058_2010,p0010059_2010,p0010060_2010,p0010061_2010,p0010062_2010,p0010063_2010,p0010064_2010,p0010065_2010,p0010066_2010,p0010067_2010,p0010068_2010,p0010069_2010,p0010070_2010,p0010071_2010,p0010001_change,p0010002_change,p0010003_change,p0010004_change,p0010005_change,p0010006_change,p0010007_change,p0010008_change,p0010009_change,p0010010_change,p0010011_change,p0010012_change,p0010013_change,p0010014_change,p0010015_change,p0010016_change,p0010017_change,p0010018_change,p0010019_change,p0010020_change,p0010021_change,p0010022_change,p0010023_change,p0010024_change,p0010025_change,p0010026_change,p0010027_change,p0010028_change,p0010029_change,p0010030_change,p0010031_change,p0010032_change,p0010033_change,p0010034_change,p0010035_change,p0010036_change,p0010037_change,p0010038_change,p0010039_change,p0010040_change,p0010041_change,p0010042_change,p0010043_change,p0010044_change,p0010045_change,p0010046_change,p0010047_change,p0010048_change,p0010049_change,p0010050_change,p0010051_change,p0010052_change,p0010053_change,p0010054_change,p0010055_change,p0010056_change,p0010057_change,p0010058_change,p0010059_change,p0010060_change,p0010061_change,p0010062_change,p0010063_change,p0010064_change,p0010065_change,p0010066_change,p0010067_change,p0010068_change,p0010069_change,p0010070_change,p0010071_change
"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",Cluster 35,6206,5916,392,5402,16,25,1,80,290,253,96,15,11,1,27,38,10,0,46,0,0,4,2,1,2,36,17,7,0,3,0,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5961,5861,338,5429,29,23,2,40,100,86,30,5,1,0,4,30,5,3,8,0,0,0,0,0,0,14,12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041100486495554436,0.009384064152874936,0.15976331360946747,-0.004973291582243507,-0.4482758620689655,0.08695652173913043,-0.5,1.0,1.9,1.941860465116279,2.2,2.0,10.0,,5.75,0.26666666666666666,1.0,-1.0,4.75,,,,,,,1.5714285714285714,0.4166666666666667,6.0,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sheridan, Barry Farm, Buena Vista",Cluster 37,8167,7878,158,7518,30,30,6,136,289,256,72,4,5,0,26,55,12,1,73,0,0,2,2,4,0,23,15,1,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10,1,0,3,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7957,7865,67,7726,18,18,0,36,92,81,29,0,0,0,1,26,6,3,16,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.026391856227221313,0.001652892561983471,1.3582089552238805,-0.026922081283976183,0.6666666666666666,0.6666666666666666,,2.7777777777777777,2.141304347826087,2.1604938271604937,1.4827586206896552,,,,25.0,1.1153846153846154,1.0,-0.6666666666666666,3.5625,,,,,,,1.875,0.875,,,,,,,,,,,,,,,,,,,,9.0,0.0,,,,,,,,,,,,,,,-1.0,-1.0,,,,,,,
"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",Cluster 34,16914,16153,749,15000,76,100,7,221,761,630,212,13,35,4,79,98,39,2,129,1,1,9,3,5,0,119,79,6,0,24,0,0,0,1,2,0,1,0,1,2,2,1,0,0,0,0,10,2,0,6,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,16320,16041,395,15479,62,47,0,58,279,229,77,4,3,2,12,63,29,2,31,1,1,1,1,2,0,39,33,0,0,1,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,11,8,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.036397058823529414,0.00698210834735989,0.8962025316455696,-0.030945151495574648,0.22580645161290322,1.127659574468085,,2.810344827586207,1.7275985663082438,1.7510917030567685,1.7532467532467533,2.25,10.666666666666666,1.0,5.583333333333333,0.5555555555555556,0.3448275862068966,0.0,3.161290322580645,0.0,0.0,8.0,2.0,1.5,,2.051282051282051,1.393939393939394,,,23.0,,,-1.0,,,,-0.5,,,,1.0,,,,,,-0.09090909090909091,-0.75,-1.0,,,,,,,,,-1.0,,,-1.0,,,,,,,,,,
"Union Station, Stanton Park, Kingman Park",Cluster 25,35945,32923,20371,9921,97,1778,14,742,3022,2759,430,175,649,16,1144,101,69,1,119,0,0,20,17,16,2,219,59,32,2,37,6,0,42,11,18,0,2,2,4,1,2,0,0,0,0,1,40,9,0,22,3,6,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,24671,24017,11262,11729,95,558,13,360,654,577,161,55,167,7,33,81,37,7,19,0,0,0,3,6,1,72,46,8,4,2,1,0,1,2,4,0,1,0,0,0,3,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4569737748773864,0.3708206686930091,0.80882614100515,-0.15414783869042545,0.021052631578947368,2.186379928315412,0.07692307692307693,1.0611111111111111,3.620795107033639,3.781629116117851,1.670807453416149,2.1818181818181817,2.8862275449101795,1.2857142857142858,33.666666666666664,0.24691358024691357,0.8648648648648649,-0.8571428571428571,5.2631578947368425,,,,4.666666666666667,1.6666666666666667,1.0,2.0416666666666665,0.2826086956521739,3.0,-0.5,17.5,5.0,,41.0,4.5,3.5,,1.0,,,,-0.3333333333333333,,,,,,7.0,1.25,,,,,,,,,,-1.0,,,,,,,,,,,,,
"Kalorama Heights, Adams Morgan, Lanier Heights",Cluster 1,20271,18158,13926,1814,79,1386,10,943,2113,1971,194,102,376,15,1089,19,42,1,77,5,0,23,5,19,4,124,23,15,2,17,3,0,29,5,20,0,2,1,6,0,1,0,0,0,0,0,18,3,0,10,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18220,17600,13807,1864,61,1005,17,846,620,550,109,44,202,7,75,27,21,1,34,5,0,3,6,12,4,68,47,4,0,2,8,0,3,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.11256860592755213,0.03170454545454546,0.0086188165423336,-0.02682403433476395,0.29508196721311475,0.37910447761194027,-0.4117647058823529,0.11465721040189125,2.4080645161290324,2.5836363636363635,0.7798165137614679,1.3181818181818181,0.8613861386138614,1.1428571428571428,13.52,-0.2962962962962963,1.0,0.0,1.2647058823529411,0.0,,6.666666666666667,-0.16666666666666666,0.5833333333333334,0.0,0.8235294117647058,-0.5106382978723404,2.75,,7.5,-0.625,,8.666666666666666,4.0,,,0.0,,,,,,,,,-1.0,17.0,,,9.0,,,,,,,,,,,,,-1.0,,-1.0,,,,,,
"Edgewood, Bloomingdale, Truxton Circle, Eckington",Cluster 21,27110,24875,10228,11880,115,1141,26,1485,2235,2008,383,93,379,6,730,85,79,3,174,2,0,55,8,6,5,199,57,13,0,36,1,0,39,17,20,0,4,1,7,1,1,2,0,0,0,0,26,1,0,16,0,4,0,0,2,0,0,2,1,0,0,0,2,2,0,0,0,0,0,0,0,21890,21236,5425,14628,73,457,11,642,654,571,170,32,77,4,50,97,58,13,45,0,0,9,8,8,0,71,46,8,4,1,0,0,1,1,2,0,3,0,2,1,1,0,0,0,0,1,12,7,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2384650525354043,0.17135995479374647,0.8853456221198157,-0.1878589007383101,0.5753424657534246,1.4967177242888403,1.3636363636363635,1.3130841121495327,2.4174311926605503,2.5166374781085814,1.2529411764705882,1.90625,3.9220779220779223,0.5,13.6,-0.12371134020618557,0.3620689655172414,-0.7692307692307693,2.8666666666666667,,,5.111111111111111,0.0,-0.25,,1.8028169014084507,0.2391304347826087,0.625,-1.0,35.0,,,38.0,16.0,9.0,,0.3333333333333333,,2.5,0.0,0.0,,,,,-1.0,1.1666666666666667,-0.8571428571428571,,4.333333333333333,,,,-1.0,,,,,,-1.0,,,,,,,,,,,
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Cluster 2,50965,45199,21207,13151,569,2702,47,7523,5766,5296,538,184,696,21,2925,91,58,1,506,4,8,210,14,35,5,399,105,33,1,76,21,0,95,11,23,0,3,3,9,2,7,6,0,0,1,3,63,7,1,42,1,6,0,0,4,0,0,2,0,0,0,0,8,1,3,0,1,2,1,0,0,46275,44256,18568,16983,274,1695,27,6709,2019,1826,294,105,299,12,616,113,42,23,168,9,2,46,13,61,23,172,88,12,2,12,3,2,14,10,9,5,1,2,5,0,1,4,0,0,0,2,18,8,0,8,0,1,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,0.10135062128579146,0.021307845263919017,0.14212623869021973,-0.22563740210799035,1.0766423357664234,0.5941002949852507,0.7407407407407407,0.12132955731107467,1.8558692421991085,1.900328587075575,0.8299319727891157,0.7523809523809524,1.3277591973244147,0.75,3.7483766233766236,-0.19469026548672566,0.38095238095238093,-0.9565217391304348,2.011904761904762,-0.5555555555555556,3.0,3.5652173913043477,0.07692307692307693,-0.4262295081967213,-0.782608695652174,1.319767441860465,0.19318181818181818,1.75,-0.5,5.333333333333333,6.0,-1.0,5.785714285714286,0.1,1.5555555555555556,-1.0,2.0,0.5,0.8,,6.0,0.5,,,,0.5,2.5,-0.125,,4.25,,5.0,,-1.0,,,,,,,,,3.0,,0.5,,,,,-1.0,-1.0
"Brookland, Brentwood, Langdon",Cluster 22,13551,12459,3087,8346,71,296,6,653,1092,959,190,44,136,7,302,74,44,7,122,1,0,23,1,8,0,111,47,3,0,32,1,0,5,1,9,0,0,2,7,2,0,1,1,0,0,0,21,7,0,10,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12631,12295,1688,10071,56,126,0,354,336,292,80,9,28,1,42,57,25,6,39,1,0,2,2,0,0,43,34,4,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07283667168078536,0.013338755591703945,0.8287914691943128,-0.17128388442061365,0.26785714285714285,1.3492063492063493,,0.844632768361582,2.25,2.2842465753424657,1.375,3.888888888888889,3.857142857142857,6.0,6.190476190476191,0.2982456140350877,0.76,0.16666666666666666,2.128205128205128,0.0,,10.5,-0.5,,,1.5813953488372092,0.38235294117647056,-0.25,,9.666666666666666,,,,,,,-1.0,,,,,0.0,,,,,20.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
"Woodridge, Fort Lincoln, Gateway",Cluster 24,9878,9226,1023,7682,38,203,4,276,652,580,142,19,54,3,163,73,25,0,86,0,0,5,1,5,4,61,19,13,0,14,2,1,0,3,4,0,2,0,2,0,1,0,0,0,0,0,11,2,0,7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6786,6578,440,5812,32,100,1,193,208,166,53,7,14,0,14,50,6,2,18,0,0,0,0,2,0,40,28,7,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4556439728853522,0.4025539677713591,1.325,0.32174810736407433,0.1875,1.03,3.0,0.43005181347150256,2.1346153846153846,2.4939759036144578,1.679245283018868,1.7142857142857142,2.857142857142857,,10.642857142857142,0.46,3.1666666666666665,-1.0,3.7777777777777777,,,,,1.5,,0.525,-0.32142857142857145,0.8571428571428571,,13.0,1.0,,,,,,0.0,,,-1.0,,,,,,,4.5,0.0,,,,,,,,,,,,,,,,,,,,,,,
"Cathedral Heights, McLean Gardens, Glover Park",Cluster 14,20942,18727,14561,1564,67,1924,5,606,2215,2068,194,83,398,19,1245,18,29,0,51,2,0,9,4,13,3,124,24,9,2,27,2,1,29,6,13,0,3,3,3,0,1,1,0,0,0,0,18,4,1,9,0,2,0,0,1,0,0,0,0,0,1,0,5,1,2,0,1,1,0,0,0,19406,18880,16273,911,43,1283,5,365,526,475,90,29,226,15,44,13,10,1,17,1,0,0,11,17,1,49,24,5,0,2,6,0,2,3,5,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07915077810986293,-0.008103813559322035,-0.10520494069931789,0.716794731064764,0.5581395348837209,0.49961028838659394,0.0,0.6602739726027397,3.211026615969582,3.353684210526316,1.1555555555555554,1.8620689655172413,0.7610619469026548,0.26666666666666666,27.295454545454547,0.38461538461538464,1.9,-1.0,2.0,1.0,,,-0.6363636363636364,-0.23529411764705882,2.0,1.530612244897959,0.0,0.8,,12.5,-0.6666666666666666,,13.5,1.0,1.6,-1.0,2.0,,,,,,,,,,8.0,,,8.0,,1.0,,,,,,,,,,,,,,,,,,,
"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Cluster 15,14611,13043,10922,693,38,1015,1,374,1568,1466,156,78,306,3,842,17,16,0,29,3,1,5,2,8,0,90,16,7,0,13,2,0,41,1,3,0,0,1,3,0,2,1,0,0,0,0,11,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,14832,14381,12575,588,41,944,4,229,451,411,69,34,214,4,34,8,11,0,9,2,0,1,5,15,5,40,22,1,0,5,4,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014900215749730312,-0.09303942702176483,-0.13145129224652088,0.17857142857142858,-0.07317073170731707,0.07521186440677965,-0.75,0.6331877729257642,2.4767184035476717,2.5669099756690996,1.2608695652173914,1.2941176470588236,0.42990654205607476,-0.25,23.764705882352942,1.125,0.45454545454545453,,2.2222222222222223,0.5,,4.0,-0.6,-0.4666666666666667,-1.0,1.25,-0.2727272727272727,6.0,,1.6,-0.5,,19.5,-0.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Capitol Hill, Lincoln Park",Cluster 26,29278,27047,18622,6642,52,1137,29,565,2231,2074,254,141,548,18,913,55,44,0,60,5,0,11,17,8,0,132,31,19,0,26,3,0,20,6,12,0,4,2,5,1,2,0,0,0,0,1,25,5,0,14,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28389,27634,16823,9633,112,711,14,341,755,688,128,71,247,8,46,55,27,4,52,1,3,3,7,31,5,60,36,6,1,0,1,0,1,3,3,0,8,0,0,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0.03131494592976153,-0.021241948324527755,0.10693693158176307,-0.310495172843351,-0.5357142857142857,0.5991561181434599,1.0714285714285714,0.656891495601173,1.9549668874172186,2.01453488372093,0.984375,0.9859154929577465,1.2186234817813766,1.25,18.847826086956523,0.0,0.6296296296296297,-1.0,0.15384615384615385,4.0,-1.0,2.6666666666666665,1.4285714285714286,-0.7419354838709677,-1.0,1.2,-0.1388888888888889,2.1666666666666665,-1.0,,2.0,,19.0,1.0,3.0,,-0.5,,,,,,,,,0.0,4.0,1.5,,,,,,,-1.0,,1.0,0.0,,,,,-1.0,-1.0,,,,,-1.0,,
Walter Reed,Cluster 40,144,124,15,105,0,1,0,3,20,18,2,2,2,0,5,6,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,344,244,71,6,9,1,13,11,10,2,1,1,2,0,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5943661971830986,-0.6395348837209303,-0.9385245901639344,0.4788732394366197,-1.0,-0.8888888888888888,-1.0,-0.7692307692307693,0.8181818181818182,0.8,0.0,1.0,1.0,-1.0,,5.0,-1.0,,,,,,,,,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rock Creek Park,Cluster 41,625,574,501,25,2,29,2,15,51,50,6,0,15,0,26,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,501,320,153,1,22,0,5,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2400793650793651,0.14570858283433133,0.565625,-0.8366013071895425,1.0,0.3181818181818182,,2.0,16.0,15.666666666666666,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observatory Circle,Cluster 42,29,25,20,0,0,0,0,5,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8333333333333335,3.1666666666666665,3.0,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Elizabeths,Cluster 43,982,963,46,900,0,1,0,16,19,17,2,0,2,1,2,3,1,1,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766,758,50,699,3,4,1,1,8,7,0,0,0,0,0,2,1,0,1,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2819843342036554,0.2704485488126649,-0.08,0.2875536480686695,-1.0,-0.75,-1.0,15.0,1.375,1.4285714285714286,,,,,,0.5,0.0,,3.0,,-1.0,,-1.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joint Base Anacostia-Bolling,Cluster 44,4953,4362,2447,1525,29,141,8,212,591,517,90,57,98,9,186,19,12,7,23,0,0,2,13,1,0,59,25,12,0,2,1,0,6,3,8,0,1,0,1,0,0,0,0,0,0,0,15,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4748,4517,1847,2382,25,123,13,127,231,210,87,16,36,3,13,14,12,6,3,0,0,0,17,1,2,20,12,3,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04317607413647852,-0.03431481071507638,0.32485110990795885,-0.35978169605373633,0.16,0.14634146341463414,-0.38461538461538464,0.6692913385826772,1.5584415584415585,1.4619047619047618,0.034482758620689655,2.5625,1.7222222222222223,2.0,13.307692307692308,0.35714285714285715,0.0,0.16666666666666666,6.666666666666667,,,,-0.23529411764705882,0.0,-1.0,1.95,1.0833333333333333,3.0,,1.0,0.0,,,0.5,,,,,,-1.0,,,,,,,14.0,,,,-1.0,,,,,,,,,,,,,,,,,,,,
"Arboretum, Anacostia River",Cluster 46,10,8,1,7,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6774193548387096,-0.7419354838709677,-0.6666666666666666,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"National Mall, Potomac River",Cluster 45,284,253,122,122,3,2,1,3,31,18,1,4,2,0,8,0,0,0,3,0,0,0,0,0,0,13,2,4,0,1,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,9,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.926829268292683,5.170731707317073,12.555555555555555,2.935483870967742,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
